tipo_ambiente;superficie_m2;tecnologia;lumenes_requeridos_lm
aula;41,407;LED;27983,99
aula;41,429;LED;23574,463
aula;41,594;LED;24606,062
aula;41,631;LED;26262,969
aula;41,655;LED;24893,551
aula;41,735;LED;31453,112
aula;41,776;LED;27518,378
aula;41,784;LED;32416,047
aula;41,832;LED;34753,046
aula;41,833;LED;21979,337
aula;41,867;LED;27254,331
aula;42,083;LED;23818,068
aula;42,09;LED;32329,772
aula;42,358;LED;29874,323
aula;42,404;LED;29098,448
aula;42,518;LED;20731,891
aula;42,651;LED;26858,341
aula;42,678;LED;24424,504
aula;42,716;LED;21767,266
aula;42,741;LED;23110,109
aula;42,825;LED;26702,894
aula;42,909;LED;23180,402
aula;43,014;LED;26591,156
aula;43,099;LED;23103,676
aula;43,169;LED;28896,961
aula;43,447;LED;31700,283
aula;43,448;LED;30911,828
aula;43,463;LED;27904,919
aula;43,67;LED;24554,851
aula;43,76;LED;35358,603
aula;43,829;LED;20191,312
aula;43,891;LED;26059,2
aula;44,018;LED;31368,051
aula;44,161;LED;29672,379
aula;44,23;LED;19524,299
aula;44,286;LED;30936,575
aula;44,473;LED;33300,354
aula;44,497;LED;38941,208
aula;44,647;LED;26371,421
aula;44,89;LED;34909,819
aula;44,903;LED;29229,952
aula;44,92;LED;40249,624
aula;45,037;LED;25282,98
aula;45,541;LED;37478,886
aula;45,761;LED;31302,328
aula;45,768;LED;29785,321
aula;45,801;LED;23076,635
aula;45,825;LED;27737,128
aula;45,854;LED;23851,718
aula;45,895;LED;24976,542
aula;45,942;LED;24089,864
aula;45,981;LED;23652,571
aula;46,026;LED;36826,238
aula;46,147;LED;36201,145
aula;46,18;LED;28695,451
aula;46,319;LED;22160,88
aula;46,467;LED;32991,626
aula;46,568;LED;34388,06
aula;46,644;LED;27249,966
aula;46,702;LED;32462
aula;46,831;LED;33850,977
aula;46,842;LED;30709,816
aula;46,903;LED;20492,302
aula;47,035;LED;35475,192
aula;47,074;LED;35417,927
aula;47,157;LED;31066,564
aula;47,233;LED;31063,106
aula;47,293;LED;31609,743
aula;47,298;LED;28523,964
aula;47,327;LED;29643,29
aula;47,327;LED;26995,956
aula;47,426;LED;33623,454
aula;47,644;LED;28235,433
aula;47,669;LED;35749,816
aula;47,772;LED;26952,053
aula;47,839;LED;27974,493
aula;47,862;LED;27919,464
aula;47,873;LED;27872,129
aula;47,881;LED;39500,613
aula;47,945;LED;36412,572
aula;48,033;LED;42628,432
aula;48,04;LED;32367,665
aula;48,109;LED;31866,798
aula;48,375;LED;27447,125
aula;48,435;LED;32520,733
aula;48,46;LED;32440,038
aula;48,466;LED;32605,677
aula;48,63;LED;31938,796
aula;48,639;LED;32664,034
aula;48,671;LED;43100,489
aula;48,82;LED;23984,627
aula;48,875;LED;37228,118
aula;48,884;LED;41914,466
aula;49,102;LED;27189,141
aula;49,334;LED;27429,927
aula;49,462;LED;39302,508
aula;49,759;LED;36032,594
aula;49,952;LED;26640,745
aula;50,046;LED;28774,179
aula;50,165;LED;25497,885
aula;50,223;LED;38669,006
aula;50,226;LED;34051,015
aula;50,235;LED;33603,156
aula;50,252;LED;33659,384
aula;50,31;LED;24446,703
aula;50,315;LED;27861,865
aula;50,353;LED;24924,97
aula;50,403;LED;32868,442
aula;50,415;LED;27366,939
aula;50,449;LED;35828,201
aula;50,497;LED;30578,878
aula;50,516;LED;28348,761
aula;50,669;LED;32308,223
aula;50,672;LED;39196,505
aula;50,677;LED;38699,123
aula;50,842;LED;44079,333
aula;51,108;LED;38235,395
aula;51,279;LED;34961,26
aula;51,682;LED;36826,623
aula;51,753;LED;25794,335
aula;51,859;LED;27272,039
aula;51,92;LED;34274,391
aula;51,933;LED;41051,368
aula;52,262;LED;33181,02
aula;52,601;LED;30342,214
aula;52,604;LED;25207,892
aula;52,737;LED;29905,562
aula;52,837;LED;29589,216
aula;53,063;LED;41648,405
aula;53,093;LED;43722,663
aula;53,17;LED;34412,579
aula;53,253;LED;37195,649
aula;53,394;LED;37556,845
aula;53,441;LED;37986,558
aula;53,542;LED;39525,399
aula;53,566;LED;25412,395
aula;53,616;LED;25048,273
aula;53,652;LED;30933,007
aula;53,662;LED;31906,848
aula;53,71;LED;38249,483
aula;53,731;LED;34844,396
aula;53,838;LED;28404,332
aula;53,844;LED;42874,585
aula;53,892;LED;28490,739
aula;54,064;LED;27513,665
aula;54,155;LED;40615,663
aula;54,353;LED;28729,856
aula;54,431;LED;31996,591
aula;54,44;LED;38556,456
aula;54,444;LED;27463,749
aula;54,469;LED;25352,725
aula;54,51;LED;31605,971
aula;54,517;LED;41246,758
aula;54,524;LED;32622,622
aula;54,535;LED;36078,835
aula;54,682;LED;39063,466
aula;54,712;LED;32901,311
aula;54,783;LED;30706,636
aula;54,833;LED;33414,841
aula;54,964;LED;38648,826
aula;54,991;LED;30976,024
aula;54,994;LED;32107,493
aula;55,035;LED;39257,155
aula;55,067;LED;40764,445
aula;55,222;LED;29439,461
aula;55,222;LED;38109,377
aula;55,302;LED;39215,795
aula;55,368;LED;42752,97
aula;55,696;LED;29846,702
aula;55,718;LED;36918,682
aula;55,753;LED;31296,669
aula;55,787;LED;29938,04
aula;55,818;LED;29510,647
aula;55,822;LED;45260,316
aula;55,975;LED;45142,208
aula;55,99;LED;28213,897
aula;56,059;LED;31988,362
aula;56,233;LED;28664,594
aula;56,34;LED;41280,477
aula;56,627;LED;41833,33
aula;56,893;LED;26973,921
aula;57,123;LED;34043,813
aula;57,151;LED;50957,81
aula;57,253;LED;37105,9
aula;57,314;LED;28788,879
aula;57,314;LED;35922,949
aula;57,361;LED;48195,229
aula;57,482;LED;33430,275
aula;57,522;LED;27068,336
aula;57,526;LED;31792,648
aula;57,543;LED;28423,336
aula;57,565;LED;37029,522
aula;57,617;LED;30322,607
aula;57,703;LED;49701,593
aula;57,783;LED;33762,91
aula;57,895;LED;45606,681
aula;57,998;LED;30462,758
aula;58,124;LED;35743,323
aula;58,132;LED;44786,527
aula;58,293;LED;27316,827
aula;58,308;LED;43676,251
aula;58,483;LED;32285,129
aula;58,509;LED;31456,752
aula;58,619;LED;42579,994
aula;58,65;LED;34301,15
aula;58,69;LED;26147,7
aula;58,731;LED;45964,726
aula;58,765;LED;28408,214
aula;58,843;LED;38387,958
aula;59,218;LED;42660,506
aula;59,225;LED;42071,665
aula;59,28;LED;30870,939
aula;59,416;LED;34870,013
aula;59,627;LED;31805,837
aula;59,672;LED;37687,943
aula;59,787;LED;34236,541
aula;59,833;LED;39777,149
aula;59,872;LED;47647,618
aula;59,919;LED;31559,191
aula;59,92;LED;24301,741
aula;59,99;LED;27590,183
aula;60,036;LED;52980,061
aula;60,071;LED;28664,371
aula;60,223;LED;39306,453
aula;60,4;LED;41002,906
aula;60,452;LED;40190,544
aula;60,681;LED;30118,595
aula;60,738;LED;35994,906
aula;60,786;LED;32655,133
aula;60,871;LED;37452,056
aula;60,905;LED;37956,743
aula;61,312;LED;36625,192
aula;61,323;LED;43135,158
aula;61,464;LED;35153,665
aula;61,583;LED;37057,445
aula;61,619;LED;47291,531
aula;61,659;LED;50145,348
aula;61,681;LED;33153,171
aula;61,801;LED;41532,644
aula;61,87;LED;35293,826
aula;61,871;LED;43731,058
aula;61,948;LED;35800,068
aula;62,077;LED;35548,195
aula;62,104;LED;38752,473
aula;62,351;LED;29812,843
aula;62,426;LED;33881,134
aula;62,433;LED;35700,456
aula;62,521;LED;31993,227
aula;62,623;LED;38447,369
aula;62,927;LED;48242,787
aula;62,984;LED;24277,871
aula;62,986;LED;38143,436
aula;63,17;LED;33966,27
aula;63,413;LED;48958,839
aula;63,423;LED;41956,139
aula;63,432;LED;41856,984
aula;63,474;LED;42119,609
aula;63,562;LED;38117,235
aula;63,592;LED;32848,045
aula;63,604;LED;34936,326
aula;63,658;LED;39434,25
aula;63,69;LED;51088,058
aula;63,784;LED;40374,494
aula;63,828;LED;39464,764
aula;63,829;LED;48776,477
aula;63,942;LED;31877,591
aula;64,029;LED;39888,398
aula;64,086;LED;42592,152
aula;64,147;LED;33024,721
aula;64,397;LED;48065,657
aula;64,506;LED;41204,037
aula;64,54;LED;48420,913
aula;64,68;LED;34904,667
aula;64,702;LED;45443,089
aula;64,714;LED;49566,248
aula;64,912;LED;41262,37
aula;64,919;LED;51554,196
aula;65,028;LED;41188,873
aula;65,029;LED;39415,185
aula;65,079;LED;29022,937
aula;65,301;LED;43177,487
aula;65,361;LED;44947,768
aula;65,391;LED;45937,421
aula;65,564;LED;42840,964
aula;65,58;LED;39817,343
aula;65,609;LED;30085,109
aula;65,63;LED;36369,386
aula;65,883;LED;51371,148
aula;65,977;LED;47741,342
aula;65,985;LED;36278,693
aula;66,062;LED;43304,807
aula;66,222;LED;35665,021
aula;66,272;LED;33482,099
aula;66,337;LED;46823,977
aula;66,372;LED;41676,633
aula;66,505;LED;40637,607
aula;66,507;LED;48165,017
aula;66,606;LED;36974,885
aula;66,64;LED;40103,49
aula;66,709;LED;36967,893
aula;66,758;LED;39010,927
aula;66,768;LED;30555,831
aula;67,001;LED;39184,71
aula;67,019;LED;39002,122
aula;67,193;LED;36939,768
aula;67,33;LED;41057,817
aula;67,391;LED;46238,115
aula;67,412;LED;31770,344
aula;67,475;LED;35566,255
aula;67,716;LED;41620,335
aula;67,724;LED;31493,539
aula;67,729;LED;52110,304
aula;67,803;LED;37946,527
aula;67,98;LED;51788,493
aula;68,011;LED;30826,379
aula;68,023;LED;47920,885
aula;68,215;LED;43475,655
aula;68,423;LED;43931,285
aula;68,476;LED;39419,756
aula;68,673;LED;48518,51
aula;68,682;LED;41680,929
aula;68,687;LED;51404,252
aula;68,836;LED;41061,632
aula;68,859;LED;50637,513
aula;69,047;LED;46912,059
aula;69,268;LED;43316,378
aula;69,279;LED;48876,209
aula;69,356;LED;56955,108
aula;69,435;LED;38083,223
aula;69,491;LED;42349,523
aula;69,505;LED;36141,293
aula;69,598;LED;34076,698
aula;69,602;LED;37364,215
aula;69,61;LED;46361,216
aula;69,73;LED;59089,626
aula;69,771;LED;37780,709
aula;69,793;LED;42782,431
aula;69,807;LED;29400,134
aula;70,06;LED;39750,438
aula;70,215;LED;40007,643
aula;70,248;LED;53873,7
aula;70,308;LED;35006,674
aula;70,518;LED;47439,369
aula;70,597;LED;50535,547
aula;70,601;LED;60213,575
aula;70,615;LED;44321,911
aula;70,617;LED;49886,386
aula;70,657;LED;48456,033
aula;70,744;LED;56685,788
aula;70,827;LED;35467,415
aula;70,845;LED;48059,724
aula;70,852;LED;35804,061
aula;70,897;LED;39121,699
aula;70,908;LED;45721,088
aula;70,921;LED;48879,129
aula;70,989;LED;51610,645
aula;71,072;LED;42991,024
aula;71,124;LED;58081,741
aula;71,182;LED;41937,52
aula;71,188;LED;50213,999
aula;71,284;LED;45543,145
aula;71,32;LED;38848,776
aula;71,449;LED;42670,429
aula;71,461;LED;45566,916
aula;71,472;LED;30345,07
aula;71,479;LED;38647,456
aula;71,536;LED;41080,374
aula;71,621;LED;61336,141
aula;71,628;LED;54888,888
aula;71,697;LED;33702,439
aula;71,808;LED;31838,135
aula;72,003;LED;49734,071
aula;72,128;LED;51152,814
aula;72,182;LED;56830,577
aula;72,347;LED;35813,951
aula;72,348;LED;53881,883
aula;72,354;LED;35082,669
aula;72,457;LED;43380,415
aula;72,512;LED;52439,017
aula;72,738;LED;54326,48
aula;72,826;LED;45473,625
aula;72,875;LED;40493,62
aula;72,963;LED;45550,836
aula;73,403;LED;43564,315
aula;73,462;LED;46585,565
aula;73,491;LED;53192,73
aula;73,536;LED;37581,984
aula;73,547;LED;50565,771
aula;73,671;LED;43885,67
aula;73,807;LED;57474,587
aula;73,912;LED;65054,416
aula;73,942;LED;38484,983
aula;74,016;LED;53957,416
aula;74,162;LED;44013,132
aula;74,186;LED;46733,626
aula;74,249;LED;60098,209
aula;74,274;LED;41165,357
aula;74,327;LED;34757,744
aula;74,51;LED;34438,216
aula;74,593;LED;39246,528
aula;74,62;LED;59124,717
aula;74,622;LED;44868,363
aula;74,641;LED;33080,442
aula;74,804;LED;43446,522
aula;74,807;LED;52983,247
aula;74,81;LED;50145,335
aula;74,895;LED;37856,052
aula;74,94;LED;34404,48
aula;75,046;LED;51162,654
aula;75,126;LED;42813,976
aula;75,474;LED;44325,808
aula;75,59;LED;50841,002
aula;75,668;LED;57582,444
aula;75,687;LED;44183,959
aula;75,76;LED;56991,654
aula;75,818;LED;54599,92
aula;75,836;LED;49184,987
aula;76,048;LED;61450,692
aula;76,106;LED;62296,288
aula;76,195;LED;33318,014
aula;76,234;LED;40044,288
aula;76,28;LED;46922,268
aula;76,475;LED;42762,109
aula;76,513;LED;55092,472
aula;76,567;LED;45644,558
aula;76,649;LED;46466,639
aula;76,677;LED;56901,675
aula;76,771;LED;42666,902
aula;76,834;LED;51075,432
aula;76,859;LED;44125,886
aula;76,96;LED;44957,193
aula;77,086;LED;57555,628
aula;77,22;LED;47770,384
aula;77,309;LED;43332,85
aula;77,312;LED;63063,345
aula;77,363;LED;46947,476
aula;77,456;LED;43109,868
aula;77,572;LED;57497,245
aula;77,651;LED;45431,494
aula;77,655;LED;35006,85
aula;77,73;LED;48252,885
aula;77,744;LED;38409,614
aula;77,833;LED;64723,816
aula;77,86;LED;50790,735
aula;77,999;LED;45151,948
aula;78,178;LED;48742,775
aula;78,252;LED;51486,291
aula;78,344;LED;50577,574
aula;78,368;LED;49539,932
aula;78,371;LED;41736,81
aula;78,58;LED;38805,504
aula;78,602;LED;41303,182
aula;78,605;LED;56201,96
aula;78,652;LED;50855,237
aula;78,928;LED;41216,211
aula;79,044;LED;37204,841
aula;79,054;LED;63509,727
aula;79,125;LED;59100,832
aula;79,158;LED;42506,197
aula;79,159;LED;48275,746
aula;79,174;LED;33768,207
aula;79,364;LED;58334,802
aula;79,375;LED;47982,502
aula;79,421;LED;44230,049
aula;79,494;LED;65602,468
aula;79,515;LED;51964,514
aula;79,57;LED;46741,648
aula;79,647;LED;44397,897
aula;79,698;LED;46107,748
aula;79,799;LED;36105,5
aula;79,962;LED;57563,003
aula;80,12;LED;39894,388
aula;80,197;LED;52293,548
aula;80,45;LED;45690,76
aula;80,648;LED;38605,933
aula;80,674;LED;41428,027
aula;80,742;LED;58873,452
aula;80,94;LED;55701,79
aula;80,949;LED;53877,573
aula;81,012;LED;48828,917
aula;81,048;LED;56193,471
aula;81,06;LED;39861,481
aula;81,145;LED;43941,902
aula;81,154;LED;47685,78
aula;81,196;LED;57988,068
aula;81,301;LED;59922,947
aula;81,385;LED;66127,716
aula;81,683;LED;54712,615
aula;81,721;LED;36137,695
aula;81,825;LED;46635,464
aula;81,893;LED;69064,327
aula;81,98;LED;57868,671
aula;82,06;LED;60163,66
aula;82,075;LED;37598,986
aula;82,113;LED;55204,706
aula;82,204;LED;52293,211
aula;82,354;LED;48838,897
aula;82,536;LED;33673,337
aula;82,548;LED;65369,062
aula;82,575;LED;44000,209
aula;82,742;LED;36772,456
aula;82,803;LED;43088,158
aula;82,831;LED;56504,732
aula;82,898;LED;69247,063
aula;83,041;LED;42205,601
aula;83,118;LED;56415,095
aula;83,236;LED;39793,111
aula;83,355;LED;44421,778
aula;83,416;LED;56861,643
aula;83,466;LED;47634,329
aula;83,669;LED;53813,44
aula;83,849;LED;62324,385
aula;83,946;LED;70158,192
aula;83,949;LED;57905,215
aula;83,949;LED;70438,138
aula;84,074;LED;57527,138
aula;84,146;LED;59514,56
aula;84,198;LED;57205,013
aula;84,223;LED;43401,264
aula;84,295;LED;64462,262
aula;84,375;LED;46805,799
aula;84,532;LED;49678,527
aula;84,575;LED;53947,253
aula;84,585;LED;51594,638
aula;84,714;LED;58966,256
aula;84,716;LED;54565,594
aula;84,742;LED;55066,415
aula;84,928;LED;45201,547
aula;84,951;LED;61506,224
aula;84,998;LED;52247,522
aula;85,001;LED;65991,972
aula;85,059;LED;65701,833
aula;85,063;LED;51350,874
aula;85,212;LED;47380,887
aula;85,267;LED;53522,799
aula;85,284;LED;70418,735
aula;85,437;LED;46281,136
aula;85,526;LED;36212,125
aula;86,143;LED;45301,742
aula;86,194;LED;45039,305
aula;86,197;LED;49676,707
aula;86,208;LED;42587,849
aula;86,227;LED;50010,31
aula;86,366;LED;67988,118
aula;86,461;LED;48158,681
aula;86,482;LED;50480,636
aula;86,512;LED;60033,303
aula;86,822;LED;37412,537
aula;86,84;LED;65724,699
aula;86,862;LED;58366,87
aula;86,869;LED;60564,96
aula;86,992;LED;58056,635
aula;87,047;LED;41668,597
aula;87,075;LED;61444,432
aula;87,096;LED;55990,688
aula;87,189;LED;50406,723
aula;87,265;LED;41479,534
aula;87,402;LED;47697,654
aula;87,605;LED;66412,942
aula;87,74;LED;65501,9
aula;87,861;LED;43202,56
aula;87,878;LED;61390,217
aula;87,952;LED;50525,457
aula;88,002;LED;48148,371
aula;88,039;LED;48109,231
aula;88,042;LED;64042,516
aula;88,17;LED;58190,563
aula;88,191;LED;59258,966
aula;88,194;LED;62719,324
aula;88,295;LED;65349,001
aula;88,348;LED;54019,81
aula;88,374;LED;47250,448
aula;88,49;LED;40135,634
aula;88,504;LED;67693,198
aula;88,542;LED;65484,876
aula;88,545;LED;60432,822
aula;88,704;LED;54990,196
aula;88,775;LED;72643,284
aula;88,893;LED;70588,987
aula;88,994;LED;67605,702
aula;89,102;LED;54142,908
aula;89,306;LED;45549,652
aula;89,41;LED;57661,163
aula;89,443;LED;82788,592
aula;89,518;LED;50287,087
aula;89,533;LED;45051,356
aula;89,559;LED;43377,431
aula;89,618;LED;48514,18
aula;89,744;LED;41620,408
aula;89,746;LED;53100,473
aula;89,813;LED;66005,133
aula;89,838;LED;46289,055
aula;90,012;LED;44242,991
aula;90,158;LED;73958,166
aula;90,422;LED;66270,748
aula;90,477;LED;44158,373
aula;90,699;LED;66812,7
aula;90,733;LED;62774,582
aula;90,898;LED;56159,678
aula;90,91;LED;48102,636
aula;91,041;LED;44550,133
aula;91,069;LED;58619,147
aula;91,224;LED;60725,2
aula;91,433;LED;69580,737
aula;91,435;LED;72934,367
aula;91,493;LED;61067,305
aula;91,707;LED;42906,658
aula;91,803;LED;58652,203
aula;92,016;LED;49545,515
aula;92,23;LED;55480,622
aula;92,24;LED;48606,276
aula;92,283;LED;59926,177
aula;92,391;LED;46943,178
aula;92,483;LED;57915,789
aula;92,751;LED;53029,779
aula;92,785;LED;50898,836
aula;92,946;LED;51685,139
aula;93;LED;48154,687
aula;93,039;LED;57470,1
aula;93,044;LED;68383,027
aula;93,221;LED;44545,754
aula;93,25;LED;85480,176
aula;93,263;LED;66580,629
aula;93,41;LED;48802,14
aula;93,417;LED;66704,481
aula;93,488;LED;64796,248
aula;93,502;LED;45844,043
aula;93,705;LED;42210,147
aula;93,736;LED;69887,071
aula;93,772;LED;42975,964
aula;93,783;LED;59840,437
aula;93,804;LED;48402,565
aula;93,903;LED;63324,605
aula;93,969;LED;56186,105
aula;94,098;LED;41169,599
aula;94,164;LED;39229,889
aula;94,223;LED;51347,199
aula;94,269;LED;63587,94
aula;94,438;LED;58039,087
aula;94,63;LED;56959,51
aula;94,898;LED;70790,31
aula;94,957;LED;47034,926
aula;95,059;LED;52219,255
aula;95,112;LED;79574,414
aula;95,114;LED;74541,205
aula;95,14;LED;43124,637
aula;95,156;LED;56580,294
aula;95,364;LED;54797,617
aula;95,368;LED;80656,099
aula;95,472;LED;69046,183
aula;95,566;LED;58281,445
aula;95,575;LED;59420,668
aula;95,595;LED;74747,476
aula;95,818;LED;80653,971
aula;95,846;LED;65457,752
aula;95,857;LED;71881,68
aula;95,88;LED;42181,047
aula;96,174;LED;68474,761
aula;96,239;LED;70343,394
aula;96,603;LED;46656,85
aula;96,616;LED;78769,188
aula;96,635;LED;61597,377
aula;96,722;LED;61970,919
aula;96,901;LED;60845,505
aula;96,989;LED;50938,583
aula;97,001;LED;53695,321
aula;97,009;LED;70142,968
aula;97,076;LED;63385,021
aula;97,097;LED;64633,899
aula;97,114;LED;79907,27
aula;97,336;LED;51238,116
aula;97,375;LED;77144,037
aula;97,407;LED;74905,987
aula;97,489;LED;41006,752
aula;97,492;LED;52843,112
aula;97,503;LED;39718,308
aula;97,509;LED;82190,392
aula;97,522;LED;66473,593
aula;97,609;LED;63245,825
aula;97,84;LED;57976,413
aula;97,887;LED;57968,949
aula;97,896;LED;61271,669
aula;97,913;LED;54042,164
aula;98,022;LED;60520,397
aula;98,025;LED;65117,429
aula;98,14;LED;85455,905
aula;98,192;LED;73472,879
aula;98,23;LED;68683,735
aula;98,307;LED;70469,346
aula;98,446;LED;64051,984
aula;98,681;LED;81546,024
aula;98,72;LED;55877,959
aula;98,841;LED;59783,187
aula;98,89;LED;75554,701
aula;99,213;LED;61411,903
aula;99,238;LED;54523,293
aula;99,291;LED;57376,519
aula;99,301;LED;48524,841
aula;99,422;LED;70098,703
aula;99,499;LED;50781,657
aula;99,553;LED;53529,216
aula;99,583;LED;67007
aula;99,651;LED;52243,726
aula;99,868;LED;73136,154
aula;99,928;LED;68742,48
aula;99,946;LED;57392,162
aula;100,022;LED;78493,872
aula;100,188;LED;64771,741
aula;100,234;LED;76074,282
aula;100,248;LED;65116,302
aula;100,319;LED;72236,589
aula;100,539;LED;52571,158
aula;100,809;LED;53502,218
aula;100,948;LED;65084,719
aula;101,053;LED;68366,744
aula;101,077;LED;58363,531
aula;101,223;LED;58852,734
aula;101,266;LED;50554,422
aula;101,332;LED;58363,001
aula;101,453;LED;73009,236
aula;101,469;LED;72383,14
aula;101,596;LED;53695,577
aula;101,605;LED;62340,513
aula;101,697;LED;58196,381
aula;101,71;LED;68794,478
aula;101,832;LED;85988,68
aula;101,927;LED;79360,407
aula;101,935;LED;73350,239
aula;101,954;LED;84803,903
aula;101,961;LED;56816,671
aula;101,967;LED;61292,506
aula;101,972;LED;56397,734
aula;101,994;LED;55766,659
aula;102,039;LED;53190,213
aula;102,096;LED;50660,135
aula;102,132;LED;75380,869
aula;102,133;LED;80576,986
aula;102,156;LED;69993,019
aula;102,393;LED;67736,551
aula;102,412;LED;54043,839
aula;102,586;LED;60102,496
aula;102,749;LED;66351,979
aula;102,902;LED;69772,993
aula;102,926;LED;91346,328
aula;103,107;LED;69861,508
aula;103,168;LED;98000,08
aula;103,188;LED;67427,07
aula;103,397;LED;50289,124
aula;103,508;LED;52254,948
aula;103,708;LED;57690,67
aula;103,719;LED;44631,31
aula;103,803;LED;70126,335
aula;103,828;LED;79520,137
aula;103,937;LED;60006,362
aula;104,028;LED;66618,325
aula;104,03;LED;75667,743
aula;104,244;LED;81786,923
aula;104,501;LED;93594,813
aula;104,596;LED;83672,077
aula;104,679;LED;54513,491
aula;104,981;LED;63105,641
aula;105,061;LED;62342,992
aula;105,187;LED;49605,868
aula;105,452;LED;62302,113
aula;105,595;LED;74069,664
aula;105,813;LED;68523,906
aula;105,936;LED;73770,288
aula;105,984;LED;78253,816
aula;106,123;LED;70526,794
aula;106,206;LED;63534,314
aula;106,212;LED;62304,669
aula;106,24;LED;60537,475
aula;106,47;LED;83306,684
aula;106,49;LED;49283,432
aula;106,66;LED;83509,021
aula;106,712;LED;63876,778
aula;107,076;LED;79853,863
aula;107,17;LED;50760,273
aula;107,32;LED;56145,501
aula;107,45;LED;67577,666
aula;107,497;LED;61923,608
aula;107,516;LED;54116,185
aula;107,592;LED;59317,212
aula;107,651;LED;97332,637
aula;107,819;LED;55856,905
aula;107,847;LED;55721,083
aula;107,969;LED;47626,633
aula;107,981;LED;77670,005
aula;107,99;LED;63200,624
aula;108,056;LED;70980,63
aula;108,145;LED;60400,961
aula;108,199;LED;79990,216
aula;108,304;LED;58829,055
aula;108,358;LED;49542,231
aula;108,499;LED;90378,066
aula;108,544;LED;55332,707
aula;108,621;LED;86727,553
aula;108,635;LED;53008,703
aula;108,697;LED;68836,736
aula;108,784;LED;73694,23
aula;108,835;LED;79804,423
aula;108,854;LED;61037,214
aula;108,915;LED;67378,693
aula;108,961;LED;84571,105
aula;109,06;LED;62021,432
aula;109,228;LED;66913,541
aula;109,239;LED;69421,6
aula;109,582;LED;66527,251
aula;109,665;LED;61868,758
aula;109,709;LED;84484,759
aula;109,809;LED;66114,407
aula;109,813;LED;74705,589
aula;109,923;LED;76216,135
aula;110,257;LED;59629,147
aula;110,374;LED;62315,524
aula;110,38;LED;76406,542
aula;110,411;LED;63104,177
aula;110,564;LED;88566,958
aula;110,59;LED;69905,408
aula;110,641;LED;89722,247
aula;110,645;LED;95572,361
aula;110,648;LED;73909,43
aula;110,934;LED;93815,697
aula;110,999;LED;67457,042
aula;111,043;LED;64532,623
aula;111,111;LED;58739,53
aula;111,232;LED;78887,071
aula;111,31;LED;55017,229
aula;111,391;LED;86789,934
aula;111,425;LED;74162,868
aula;111,437;LED;70757,636
aula;111,444;LED;84654,292
aula;111,454;LED;86372,431
aula;111,469;LED;79913,458
aula;111,477;LED;75915,586
aula;111,498;LED;71260,653
aula;111,506;LED;63230,597
aula;111,556;LED;56551,321
aula;111,583;LED;76933,578
aula;111,614;LED;60901,81
aula;111,698;LED;67728,583
aula;112,11;LED;53437,835
aula;112,433;LED;66334,709
aula;112,665;LED;62402,588
aula;112,847;LED;68451,56
aula;112,858;LED;70661,139
aula;112,885;LED;62504,809
aula;112,892;LED;67043,66
aula;112,955;LED;56631,511
aula;112,973;LED;68280,892
aula;113,009;LED;81435,43
aula;113,038;LED;60388,821
aula;113,081;LED;74658,086
aula;113,251;LED;86746,758
aula;113,431;LED;58078,572
aula;113,461;LED;78446,463
aula;113,484;LED;56199,925
aula;113,725;LED;83240,701
aula;113,781;LED;69193,716
aula;113,83;LED;69377,897
aula;113,836;LED;75770,372
aula;113,902;LED;93489,078
aula;113,938;LED;63222,998
aula;114,142;LED;71352,806
aula;114,222;LED;75977,537
